totalThroughput,totalDownloadTime,timeStamp,cpuUsage,timeStamp,avgRotationAngle,video,user,energy
7714843.0,243.625,2025-04-06 16:16:19,31.7,30,0.019810939197337465,4,1,462.0
4800677.0,210.7333333333333,2025-04-06 16:16:20,32.6,31,0.08407692810948268,4,1,462.0
1581881.0,2.0,2025-04-06 16:16:21,28.7,32,0.1272780606144196,4,1,462.0
3307781.0,175.0,2025-04-06 16:16:22,33.1,33,0.07206235335319226,4,1,462.0
4908552.0,162.95,2025-04-06 16:16:23,33.3,34,0.041984405553757015,4,1,462.0
5188243.0,151.77272727272728,2025-04-06 16:16:24,41.9,35,0.05793191442066562,4,1,462.0
3911421.0,186.42857142857144,2025-04-06 16:16:25,30.0,36,0.03923162308248728,4,1,462.0
2866560.0,312.57142857142856,2025-04-06 16:16:26,29.8,37,0.031255600899392076,4,1,462.0
2140870.0,136.33333333333334,2025-04-06 16:16:27,30.4,38,0.06480430601335481,4,1,462.0
4399253.0,243.07142857142856,2025-04-06 16:16:28,31.7,39,0.18389700051069918,4,1,462.0
5851112.0,208.42857142857144,2025-04-06 16:16:29,34.2,40,0.16671970842028003,4,1,462.0
4887748.0,154.7,2025-04-06 16:16:30,37.7,41,0.172551929213365,4,1,462.0
3645424.0,177.9090909090909,2025-04-06 16:16:31,34.3,42,0.2627009359043919,4,1,462.0
2502369.0,126.27272727272728,2025-04-06 16:16:32,36.0,43,0.049074288868441236,4,1,462.0
5102456.0,277.7142857142857,2025-04-06 16:16:33,66.1,44,0.04217409880006969,4,1,462.0
5920587.0,230.8947368421053,2025-04-06 16:16:34,36.4,45,0.027324640308811383,4,1,462.0
5142372.0,217.2,2025-04-06 16:16:35,38.0,46,0.07098154541196165,4,1,462.0
4138091.0,295.3636363636364,2025-04-06 16:16:36,31.0,47,0.09752410302901265,4,1,462.0
3410320.0,251.9,2025-04-06 16:16:37,33.6,48,0.05257191723209234,4,1,462.0
6869261.0,225.55555555555557,2025-04-06 16:16:38,48.1,49,0.02561259832706119,4,1,462.0
7288141.0,232.3181818181818,2025-04-06 16:16:39,38.4,50,0.0440177740197266,4,1,462.0
5759559.0,176.8235294117647,2025-04-06 16:16:40,36.2,51,0.03153507227625274,4,1,462.0
3148155.0,178.0,2025-04-06 16:16:41,33.7,52,0.03997319594122417,4,1,462.0
3118403.0,221.9090909090909,2025-04-06 16:16:42,55.9,53,0.027400600179275602,4,1,462.0
2350433.0,93.06666666666666,2025-04-06 16:16:43,34.5,54,0.02587151779736186,4,1,462.0
2692240.0,75.63636363636364,2025-04-06 16:16:44,35.3,55,0.04504934585111217,4,1,462.0
2692240.0,75.63636363636364,2025-04-06 16:16:44,35.3,56,0.04314749166469787,4,1,462.0
1371338.0,25.22222222222222,2025-04-06 16:16:44,35.3,55,0.04504934585111217,4,1,462.0
1371338.0,25.22222222222222,2025-04-06 16:16:44,35.3,56,0.04314749166469787,4,1,462.0
564933.0,22.307692307692307,2025-04-06 16:16:46,31.3,57,0.06013966906444963,4,1,462.0
885747.0,107.0,2025-04-06 16:16:47,32.7,58,0.10738618613591924,4,1,462.0
881301.0,148.8,2025-04-06 16:16:48,35.0,59,0.11590928500769859,4,1,462.0
345400.0,11.583333333333334,2025-04-06 16:40:20,31.1,0,0.18292973408552032,9,1,428.0
345400.0,11.583333333333334,2025-04-06 16:40:21,39.3,1,0.16772223834421573,9,1,428.0
357693.0,11.2,2025-04-06 16:40:22,43.9,2,0.36289997436688154,9,1,428.0
1015021.0,19.0,2025-04-06 16:40:23,62.3,3,0.4450802573697006,9,1,428.0
1319624.0,27.25925925925926,2025-04-06 16:40:24,39.1,4,0.4203144795105737,9,1,428.0
1307331.0,28.23076923076923,2025-04-06 16:40:25,36.2,5,0.13404533275197006,9,1,428.0
1307331.0,28.23076923076923,2025-04-06 16:40:25,36.2,6,0.3944448916702603,9,1,428.0
10070.0,,2025-04-06 16:40:25,36.2,5,0.13404533275197006,9,1,428.0
10070.0,,2025-04-06 16:40:25,36.2,6,0.3944448916702603,9,1,428.0
343723.0,82.0,2025-04-06 16:40:27,32.1,7,0.30702312941271986,9,1,428.0
7083424.0,137.25,2025-04-06 16:40:28,42.6,8,0.0902907808324925,9,1,428.0
7666701.0,144.45945945945945,2025-04-06 16:40:29,35.4,9,0.12949747070216666,9,1,428.0
7322979.0,148.02857142857144,2025-04-06 16:40:30,34.7,10,0.05994032484398829,9,1,428.0
229557.0,,2025-04-06 16:40:31,35.0,11,0.03984040537097035,9,1,428.0
174875.0,38.5,2025-04-06 16:40:32,31.1,12,0.015205227722370098,9,1,428.0
5017125.0,161.95454545454547,2025-04-06 16:40:33,37.9,13,0.02991028696922678,9,1,428.0
6137125.0,167.5,2025-04-06 16:40:34,64.3,14,0.031840755248935135,9,1,428.0
5811323.0,157.86363636363637,2025-04-06 16:40:35,33.6,15,0.014018082641786892,9,1,428.0
561050.0,75.0,2025-04-06 16:40:36,34.5,16,0.015177329007966164,9,1,428.0
24235.0,4.5,2025-04-06 16:40:37,41.3,17,0.012790831300962693,9,1,428.0
3751949.0,148.65,2025-04-06 16:40:38,37.5,18,0.013995729662369246,9,1,428.0
4033827.0,142.36363636363637,2025-04-06 16:40:39,46.8,19,0.009673274304495124,9,1,428.0
4350527.0,133.1,2025-04-06 16:40:40,35.9,20,0.013040831838867416,9,1,428.0
647213.0,86.75,2025-04-06 16:40:41,31.7,21,0.010957513648590544,9,1,428.0
1065988.0,97.5,2025-04-06 16:40:42,37.8,22,0.0117227901091003,9,1,428.0
3693621.0,116.55,2025-04-06 16:40:43,36.9,23,0.011034587547439209,9,1,428.0
3693621.0,116.55,2025-04-06 16:40:44,34.5,24,0.011617668516488778,9,1,428.0
3234322.0,89.26666666666667,2025-04-06 16:40:45,36.8,25,0.015624548789545601,9,1,428.0
631512.0,80.25,2025-04-06 16:40:46,44.4,26,0.012681450318163827,9,1,428.0
1088283.0,54.66666666666666,2025-04-06 16:40:47,60.4,27,0.01059236023886637,9,1,428.0
3490757.0,124.84210526315788,2025-04-06 16:40:48,44.1,28,0.009359278997408054,9,1,428.0
3674131.0,122.65,2025-04-06 16:40:49,34.2,29,0.011888508898848415,9,1,428.0
3258455.0,127.375,2025-04-06 16:40:50,36.1,30,0.011323918397558847,9,1,428.0
840923.0,81.6,2025-04-06 16:40:51,66.0,31,0.012108687695786095,9,1,428.0
888043.0,68.33333333333333,2025-04-06 16:40:52,54.6,32,0.01050436711112562,9,1,428.0
4090979.0,131.8095238095238,2025-04-06 16:40:53,32.8,33,0.017836997965820993,9,1,428.0
3926251.0,134.15,2025-04-06 16:40:54,30.7,34,0.3228838350679499,9,1,428.0
