input_file,n,si,ti
video_4.mp4,643,23.087,9.592
video_4.mp4,644,23.12,9.525
video_4.mp4,645,23.62,9.904
video_4.mp4,646,24.166,9.369
video_4.mp4,647,25.279,13.575
video_4.mp4,648,25.987,14.616
video_4.mp4,649,25.869,15.362
video_4.mp4,650,26.352,16.393
video_4.mp4,651,26.493,12.086
video_4.mp4,652,26.601,17.461
video_4.mp4,653,26.637,15.647
video_4.mp4,654,26.884,17.801
video_4.mp4,655,25.476,13.56
video_4.mp4,656,25.169,8.171
video_4.mp4,657,23.674,8.339
video_4.mp4,658,23.527,6.129
video_4.mp4,659,23.378,4.065
video_4.mp4,660,23.867,8.548
video_4.mp4,661,24.301,7.729
video_4.mp4,662,25.483,9.908
video_4.mp4,663,26.799,9.969
video_4.mp4,664,27.696,9.366
video_4.mp4,665,27.821,6.667
video_4.mp4,666,27.852,3.797
video_4.mp4,667,27.587,8.161
video_4.mp4,668,26.906,9.784
video_4.mp4,669,25.833,10.356
video_4.mp4,670,25.683,8.332
video_4.mp4,671,25.119,10.682
video_4.mp4,672,29.926,11.995
video_4.mp4,673,31.833,12.622
video_4.mp4,674,34.164,15.596
video_4.mp4,675,34.912,13.317
video_4.mp4,676,34.927,16.03
video_4.mp4,677,34.433,14.935
video_4.mp4,678,35.247,15.495
video_4.mp4,679,37.731,17.04
video_4.mp4,680,41.38,16.051
video_4.mp4,681,36.383,20.012
video_4.mp4,682,30.927,17.538
video_4.mp4,683,28.038,14.445
video_4.mp4,684,25.554,13.368
video_4.mp4,685,24.657,9.891
video_4.mp4,686,23.7,11.718
video_4.mp4,687,22.902,11.737
video_4.mp4,688,22.651,11.307
video_4.mp4,689,21.655,11.032
video_4.mp4,690,21.518,8.102
video_4.mp4,691,21.467,10.122
video_4.mp4,692,21.473,10.168
video_4.mp4,693,21.613,10.788
video_4.mp4,694,21.459,10.038
video_4.mp4,695,21.221,7.894
video_4.mp4,696,21.166,9.631
video_4.mp4,697,21.191,9.554
video_4.mp4,698,21.63,9.955
video_4.mp4,699,21.609,9.364
video_4.mp4,700,21.591,7.122
video_4.mp4,701,22.199,9.168
video_4.mp4,702,23.922,10.862
video_4.mp4,703,25.94,11.965
video_4.mp4,704,27.167,12.569
video_4.mp4,705,27.789,10.749
video_4.mp4,706,27.553,13.323
video_4.mp4,707,27.323,12.94
video_4.mp4,708,27.428,11.651
video_4.mp4,709,27.443,7.273
video_4.mp4,710,27.757,10.397
video_4.mp4,711,27.444,11.4
